time,Fx_true,Fy_true,Fz_true,Mx_true,My_true,Mz_true,rpm,psi_deg,omega_dot,thrust,torque_aero,v_induced_mean,v_inf,inflow_angle_deg
0.000615,-8.67361738e-19,0,0.0902211863,2.71050543e-20,5.42101086e-20,-0.00032601777,27309.072,100.770476,0,0.0902211863,0.00032601777,7.79267449,0,0
0.00062,-1.51788304e-18,0,0.0902211863,6.09863722e-20,-1.08420217e-19,-0.00032601777,27309.072,101.589748,0,0.0902211863,0.00032601777,7.79267449,0,0
0.000625,-4.77048956e-18,5.20417043e-18,0.0902211863,-1.55854062e-19,1.62630326e-19,-0.00032601777,27309.072,102.40902,0,0.0902211863,0.00032601777,7.79267449,0,0
0.00063,-1.95156391e-18,1.73472348e-18,0.0902211863,-4.06575815e-20,1.08420217e-19,-0.00032601777,27309.072,103.228292,0,0.0902211863,0.00032601777,7.79267449,0,0
0.000635,-4.33680869e-19,0,0.0902211863,-2.03287907e-20,5.42101086e-20,-0.00032601777,27309.072,104.047564,0,0.0902211863,0.00032601777,7.79267449,0,0
0.00064,-8.67361738e-19,-1.73472348e-18,0.0902211863,-3.38813179e-20,-5.42101086e-20,-0.00032601777,27309.072,104.866836,0,0.0902211863,0.00032601777,7.79267449,0,0
0.000645,3.46944695e-18,-8.67361738e-19,0.0902211863,2.10064171e-19,5.42101086e-20,-0.00032601777,27309.072,105.686108,0,0.0902211863,0.00032601777,7.79267449,0,0
0.00065,-1.73472348e-18,2.60208521e-18,0.0902211863,-2.71050543e-20,5.42101086e-20,-0.00032601777,27309.072,106.505381,0,0.0902211863,0.00032601777,7.79267449,0,0
0.000655,-8.67361738e-19,0,0.0902211863,-2.71050543e-20,0,-0.00032601777,27309.072,107.324653,0,0.0902211863,0.00032601777,7.79267449,0,0
0.00066,-8.67361738e-19,0,0.0902211863,-3.38813179e-20,-1.08420217e-19,-0.00032601777,27309.072,108.143925,0,0.0902211863,0.00032601777,7.79267449,0,0
